ID (int),Titre (str),Auteur (str),Date (int),Format (str),Genre (List(str)),Lectorat (str),Tags (List(str)),Synopsis (str)
1,Le Symbole perdu,Dan Brown,2009, Roman,[' Thriller'], Adulte,[' Thriller ésotérique'],"Robert Langdon, professeur en symbologie, est convoqué d’urgence par son ami Peter Solomon, philanthrope et maçon de haut-grade, pour une conférence à donner le soir même.En rejoignant la rotonde du Capitole, il fait une macabre découverte.Ce sera le premier indice d’une quête haletante, des sous-sols de la Bibliothèque du Congrès aux temples maçonniques, à la recherche du secret le mieux gardé de la franc-maçonnerie.Une aventure où s’affrontent les traditions ésotériques et la formidable intelligence de Robert Langdon.Titre original : The Lost Symbol (2009)"
2,Forteresse digitale,Dan Brown,2006, Roman,[' Thriller'], Adulte,,"Lorsque le super-ordinateur de décryptage de la NSA ne parvient pas à déchiffrer un code, l'agence appelle à la rescousse sa cryptanalyste en chef, Susan Fletcher, une belle et brillante mathématicienne. Ce que va découvrir Susan ébranle tous les échelons du pouvoir : la NSA est prise en otage - non sous la menace d'une arme ou d'une bombe, mais par un système de cryptage inviolable qui, s'il était mis sur le marché, pulvériserait tout le renseignement américain ! Prise dans un tourbillon de secrets et de faux-semblants, Susan se bat pour sortir l'agence de ce piège. Trahie de tous côtés, il ne s'agit bientôt plus seulement pour elle, de défendre son pays mais de sauver sa propre vie, ainsi que celle de l'homme qu'elle aime.Titre original : Digital Fortress (1998)"
3,"Walking dead, tome 01 : Passé décomposé","Robert Kirkman, Charlie Adlard et Tony Moore",2007, Comics,[' Horreur'], Adulte,,"Rick est policier et sort du coma pour découvrir avec horreur un monde où les morts ne meurent plus.Mais ils errent à la recherche des derniers humains pour s'en repaître. Il n'a alors plus qu'une idée en tête : retrouver sa femme et son fils, en espérant qu'ils soient rescapés de ce monde devenu fou. Un monde où plus rien ne sera jamais comme avant, et où une seule règle prévaut : survivre à tout prix.Titre original : The Walking Dead, book 01: Days Gone Bye (2004)"
4,L'homme aux cercles bleus,Fred Vargas,1991, Roman,[' Policier'], Adulte,,"""Victor, mauvais sort, que fais-tu dehors ?""Depuis quatre mois, cette phrase accompagne les cercles bleus qui surgissent la nuit, tracés à la craie sur les trottoirs de Paris. Au centre de ces cercles, prisonniers, un débris, un déchet, un objet perdu: trombone, bougie, pince à épiler, patte de pigeon...Le phénomène fait les délices des journalistes et de quelques psychiatres qui théorisent: un maniaque, un joueur.Le commissaire Adamsberg, lui, ne rit pas. Ces cercles et leur contenu hétéroclite sont de mauvais augure. Il le sait, il le sent: bientôt, de l'anodin saugrenu on passera au tragique."
6,"Harry Potter, tome 1 : Harry Potter à l'école des sorciers",J. K. Rowling,1998, Roman,[' Fantasy'], Adolescence,[' Adapté en film'],"Le jour de ses onze ans, Harry Potter, un orphelin élevé par un oncle et une tante qui le détestent, voit son existence bouleversée. Un géant vient le chercher pour l'emmener à Poudlard, une école de sorcellerie ! Voler en balai, jeter des sorts, combattre les trolls : Harry se révèle un sorcier doué. Mais quel est le mystère qui l'entoure ? Et qui est l'effroyable V..., le mage dont personne n'ose prononcer le nom ? Amitié, surprises, dangers, scènes comiques, Harry découvre ses pouvoirs et la vie à Poudlard. Le premier tome des aventures du jeune héros vous ensorcelle aussitôt !Titre original : Harry Potter, book 1: Harry Potter and the Philosopher's Stone (1997)"
7,"Twilight, tome 1 : Fascination",Stephenie Meyer,2005, Roman,[' Fantastique'], Young Adult,"[' Adapté en film', ' Bit-lit']","Pour laisser à sa mère la liberté d'accompagner son compagnon dans ses déplacements, Bella décide de quitter Phoenix et s'installe chez son père, chef de la police de Forks, petite bourgade de l'état de Washington. Au lycée, ses regards se portent sur Edward Cullen dont la beauté et le comportement la terrorisent et la fascinent. La passion qui naît entre eux ne peut que l'exposer à de nombreux dangers car Edward n'est pas un humain et elle le sait.Titre original : Twilight (2005)"
9,"Papa est mort, Tourterelle / Rhapsodie en noir",Carlene Thompson,2000, Roman,[' Policier'], Adulte,,"Nicole ne comprend pas. Pourquoi son père, si solide, s'est-il tiré une balle dans la tête ? Que faisait, à moitié brûlée dans son bureau, une photo récente d'un homme mort quinze ans plus tôt ? Et pourquoi n'y avait-il aucune lettre d'adieu ? Pas une explication. Rien ! Les faits troublants, vaguement menaçants ou clairement hostiles, se multiplient. Un homme avec son chien semble suivre Nicole. Un autre est retrouvé pendu dans son jardin. Tout parait à nouveau l'accuser et faire d'elle une folle. Des années après ce qu'elle aurait tant aimé oublier, le cauchemar recommence. Si seulement elle pouvait en connaître la cause ?Titre original : Tonight you're mine (1998)"
10,"Twilight, tome 2 : Tentation",Stephenie Meyer,2006, Roman,[' Fantastique'], Young Adult,"[' Adapté en film', ' Bit-lit']",""" Tu ne me reverras plus. Je ne reviendrai pas. Poursuis ta vie, je ne m'en mêlerai plus. Ce sera comme si je n'avais jamais existé. "" Rejetée par celui qu'elle aime passionnément, Bella ne s'en relève pas. Fascinée par un vampire, comment pourrait-elle retrouver goût à la pâle existence humaine ? Pourtant il faut vivre. Mais Bella n'a de goût pour rien, sinon le danger : alors elle entend la voix d'Edward, et éprouve l'illusion de sa présence. Comme s'il ne l'avait pas abandonnée, comme s'il tenait encore à elle. Bella échappera-t-elle à cette obsession amoureuse qui la hante ? A quel prix ?Titre original : New moon (2006)"
11,La Mécanique du coeur,Mathias Malzieu,2007, Roman,"[' Conte', ' Fantastique']", Adulte,[' Adapté en film'],"Edimbourg, 1874 : le jour le plus froid du monde. Lorsque Jack naît, son cœur gelé se brise immédiatement. La sage-femme le remplace par une horloge et le sauve.Depuis lors, il doit prendre soin d'en remonter chaque matin le mécanisme. Mais gare aux passions ! Le regard de braise d'une petite chanteuse andalouse va mettre le cœur de Jack à rude épreuve..."
12,"Mercy Thompson, tome 01 : L'appel de la lune",Patricia Briggs,2008, Roman,[' Fantasy'], Adulte,"[' Fantasy urbaine', ' Bit-lit']",""" Les loups-garous peuvent être dangereux si vous vous mettez en travers de leur chemin. Ils ont un talent extraordinaire pour dissimuler leur véritable nature aux yeux des humains. Mais moi, je ne suis pas tout à fait humaine. ""En effet, Mercy Thompson n'est pas une fille des plus banales. Mécanicienne dans le Montana, c'est une dure à cuire qui n'hésite pas à mettre les mains dans le cambouis et à sortir les griffes quand le danger frappe à sa porte. Mais ce n'est pas tout : son voisin très sexy est le chef de meute d'une bande de loups-garous, le minibus qu'elle bricole en ce moment appartient à un vampire, et la vieille dame très digne qui lui rend visite vient jeter des sorts sur son garage. Au cœur de ce monde des créatures de la nuit, Mercy se trouve mêlée à une délicate affaire de meurtre et d'enlèvement...Titre original : Mercedes Thompson, book 1: Moon Called (2006)"
